id,name,country_id:id,code
province_veraguas,Veraguas,base.pa,PA-9
province_cocle,Cocle,base.pa,PA-2
province_los_santos,Los Santos,base.pa,PA-7
province_comarca_ngabe_bugle,Comarca Ngäbe-Buglé,base.pa,PA-NB
province_comarca_kuna_yala,Comarca Kuna Yala,base.pa,PA-KY
province_comarca_embera,Comarca Embera,base.pa,PA-EM
province_panama,Panama,base.pa,PA-8
province_panama_oeste,Panama Oeste,base.pa,PA-13
province_herrera,Herrera,base.pa,PA-6
province_colon,Colon,base.pa,PA-3
province_chiriqui,Chiriqui,base.pa,PA-4
province_darien,Darien,base.pa,PA-5
province_bocas_del_toro,Bocas Del Toro,base.pa,PA-1
